x1,x2,x3,x4,x5,label
-7.701343,3.703604,-9.476099,-2.782282,-6.984566,1
-1.632069,-8.365207,-2.208241,-9.088830,-5.371550,0
1.298666,-6.978548,9.559372,-3.973007,1.733605,1
-5.575046,-3.034306,5.262917,-9.221140,3.217751,0
-2.999217,2.098461,-4.017804,-6.275907,8.749514,0
-3.591504,7.045370,-4.726742,-9.471429,-3.110595,1
-1.718772,-4.655287,-9.974500,2.412944,3.048307,0
-5.187565,-5.602285,-6.782557,4.931704,4.709318,1
5.713705,3.324320,-3.544114,7.641677,9.527967,1
-7.802651,3.599138,-4.457500,-4.941528,6.803745,1
-5.482939,0.278901,7.295099,-8.766056,0.580835,1
-5.438609,6.629307,-2.016702,9.779317,-4.235967,0
-3.643273,-5.471034,-3.187151,-8.646321,0.148214,1
0.599549,6.143136,4.017626,8.791594,-7.586725,0
0.969647,-9.590098,9.498220,-8.630479,-0.401976,1
8.787272,1.521345,8.954681,0.335111,3.426890,0
2.376823,3.411033,-7.664211,4.025622,5.646778,1
2.037011,-1.755415,4.528870,-7.560266,-1.530256,0
-3.070768,-8.044490,-8.219027,-7.735200,-0.856123,0
-6.901298,1.604839,-7.868805,-8.531884,6.283752,1
-2.422024,7.033143,-8.271227,-8.164974,-7.815598,1
-2.830315,-6.620634,0.238713,-8.150950,2.990657,0
7.232576,6.216321,-1.651129,1.195932,5.641064,1
0.745457,7.210502,8.438725,-8.623079,-4.660952,0
0.062749,-6.460254,9.750558,0.450911,8.428121,1
2.104935,-6.456685,-9.697160,-7.626821,3.289434,1
-5.060924,2.128530,-3.945607,4.004093,1.493966,1
-0.517039,0.822508,-7.539989,1.171850,1.641462,0
5.645499,-5.802041,9.714715,2.814554,5.864414,0
-4.992901,1.417018,6.907594,-9.587759,7.888562,1
2.671371,-4.451867,2.864216,9.086189,3.025802,0
-4.875689,-1.002318,4.453151,8.684222,9.944840,0
-1.598631,3.881165,4.340587,-0.252081,-3.944480,1
4.187633,8.691135,5.291917,9.121803,8.446922,0
1.581888,6.682141,5.805749,-8.387428,1.393836,0
3.851891,6.412241,2.449254,-7.295671,-4.053132,1
9.570420,-0.340079,-3.441194,-7.344636,0.509336,1
-2.567913,6.567601,-6.232031,6.797279,4.176965,1
-1.423048,6.898003,-8.841680,-3.049917,-5.070459,1
6.844272,5.630164,-3.645198,-2.833131,4.973368,1
5.889768,-3.694957,-2.375435,2.158996,8.912358,0
-3.026308,3.566227,3.407953,0.512924,-2.267675,0
-2.284700,-8.601588,5.779826,-0.092859,7.769481,0
0.751712,6.197239,-1.071113,7.137989,-3.574751,0
-6.038145,-1.883712,-7.723937,6.207962,-5.396904,0
7.206092,0.203984,5.094596,-5.792034,-4.259912,0
7.587673,2.786246,2.028192,5.501376,-5.219794,0
1.441513,-1.472066,-2.800501,-3.456482,-1.859878,0
0.428557,-5.399338,9.296626,1.810488,-3.816647,1
4.344833,-4.290048,6.229629,9.458630,-0.011326,0
-1.643709,-0.551369,-2.613618,-9.097047,-9.924985,0
3.706413,-3.148795,6.951334,1.712422,8.117564,0
2.292438,6.156786,-3.549448,2.936517,-0.865193,0
2.277399,-4.927279,2.495077,9.662358,-9.933326,1
-3.130376,-6.752242,-6.813257,1.601603,-7.021683,0
5.999080,-6.601101,-1.122929,4.071484,9.449942,0
5.965337,2.302293,-3.449632,-3.282393,-0.559138,0
-6.604856,-0.896917,-4.065161,-3.468162,0.573890,0
-2.740970,7.279561,-5.669605,5.797924,-7.630311,1
-5.450885,-7.967915,-8.539749,6.880659,2.121362,1
