x1,x2,label
1.052497,8.614595,1
6.017935,-4.382561,5
0.375050,-4.351717,4
8.474696,0.618748,0
4.385894,-7.157137,5
-1.803060,-7.976544,4
6.333421,-3.159938,5
1.654042,-0.842520,5
-6.452091,-2.925543,3
-1.884047,-1.710386,3
-9.188816,-1.804960,3
-3.930234,-3.922225,3
-2.514738,5.098473,1
-4.353786,-6.201732,3
8.647755,4.512471,0
2.777548,-0.056189,5
2.906569,3.192324,0
9.244230,2.266291,0
-5.346688,-1.183763,3
7.972688,3.731416,0
2.318959,-7.392855,4
-5.234750,-5.596161,3
7.109125,-3.321548,5
1.890065,-8.497158,4
-1.785847,-6.297352,4
-3.774594,-1.037474,3
7.918829,-5.821687,5
3.618390,-6.909823,4
-0.024343,-0.165116,4
0.414048,-9.528782,4
-2.139917,-7.398292,4
-4.366333,-8.014104,4
4.746399,0.797369,0
3.504491,-1.958421,5
5.990974,-7.240061,5
0.080495,-7.846274,4
-3.347848,-5.394794,3
3.708459,2.023124,0
5.091569,-7.903812,5
1.784986,-1.738304,5
-1.667924,-2.705938,3
0.558706,2.983859,1
-4.444250,2.474263,2
-1.829945,-3.272877,4
-0.356023,-4.746007,2
2.403912,-1.062538,5
-9.046913,-2.368318,3
-0.148674,3.428247,1
-8.176209,-2.189805,3
-3.731399,-4.596770,3
-6.143085,5.340314,2
3.846576,-4.732117,5
5.273163,1.362476,0
-7.182999,-1.934545,3
-7.071839,-3.167933,1
8.926026,4.589451,0
0.369256,-6.821618,4
2.502497,-3.326252,5
2.855649,7.936488,1
2.249856,7.309049,1
-4.736261,3.283323,2
-3.558904,-4.012560,3
-7.798255,4.994975,2
-2.573518,7.314891,1
9.567384,-2.359553,5
-6.449453,4.576192,2
0.828899,8.842014,1
3.775379,9.012009,1
-6.061663,-1.888297,3
9.056646,-0.878477,5
4.910384,-4.408174,5
2.149470,-7.828817,4
8.854898,-2.646939,5
0.467177,-1.356498,4
4.325437,4.794621,0
-9.535226,-0.632962,3
-4.760761,6.678805,2
-5.351664,-3.629568,3
-6.903505,3.258204,2
-0.410383,7.320581,1
3.910624,0.523040,0
6.614633,0.211298,0
7.379381,-4.364676,5
-1.568598,1.392726,2
2.926205,-1.860695,5
-5.397314,-3.614991,3
7.492734,3.366839,0
4.238104,4.949523,0
-1.034682,-4.414504,4
-1.808019,3.364097,1
2.677160,5.255355,1
-9.419059,1.728683,2
7.666118,5.715606,0
-5.471756,5.361474,2
5.510898,3.518086,0
7.995568,-0.197013,5
-6.832608,4.508351,2
0.557539,5.188583,1
6.346887,2.582308,0
-3.268016,7.403661,1
0.907211,5.351450,1
-1.496094,0.445953,2
1.892648,3.549526,1
6.226021,0.435781,0
9.631633,2.373472,0
-2.618015,0.431694,2
-3.411263,-8.328050,4
-4.140717,8.988165,1
-2.178675,-0.642641,3
7.677183,-0.323723,5
0.574879,-10.239578,4
1.628914,8.085020,1
5.465632,-2.192172,5
-3.325730,0.300941,2
-1.520100,1.044923,2
6.606447,6.422492,0
-1.092727,-1.709552,3
3.837538,-5.706662,5
2.424390,-5.797964,4
-5.099473,5.908132,2
-8.742102,-1.521339,3
2.873006,1.717368,0
8.946300,1.636026,0
2.041423,-7.568113,3
0.328262,4.488309,1
-5.224689,7.394824,2
4.061305,-4.036745,5
4.033170,-8.109415,4
1.398561,5.353355,1
6.847134,-5.001885,5
2.692325,3.656846,0
4.900344,1.690732,0
-7.372243,-4.434699,3
-5.021372,-3.011034,3
6.880900,1.957762,0
-7.583574,3.191605,2
-2.838731,9.267978,1
6.722860,-7.114367,5
-2.019768,3.833202,1
7.623060,3.775567,0
2.329497,8.945622,1
2.116922,-5.014607,4
1.342071,6.896838,1
-1.977704,7.357122,1
3.187015,2.279879,0
5.801930,2.812131,0
2.783354,8.143111,1
-1.272362,-8.073622,4
3.732556,1.387885,0
5.122474,2.599881,0
-7.622179,1.826408,2
-2.801866,8.213910,1
5.084061,7.797429,0
-4.499835,-4.511160,3
5.706604,-6.667658,5
0.424876,-4.137650,4
6.937275,-2.766565,5
4.388155,4.515974,0
-7.243612,-2.725111,3
-4.740121,8.099473,2
8.045800,1.618146,0
-3.449716,-6.391396,2
3.129760,-1.670154,5
-1.300534,-6.380905,4
-0.106568,9.721303,1
-4.419582,7.356825,2
-3.997390,-0.596848,3
2.671816,-5.975232,4
-4.967433,0.390793,2
3.416298,5.801489,0
5.561439,0.833992,0
-6.777231,-6.726327,3
0.983352,-0.543099,5
-7.369281,-6.074925,3
7.219883,-4.751861,5
6.901189,-1.603095,5
-4.454403,-2.975876,3
6.160520,4.205294,0
-3.807034,0.338068,2
-1.005890,6.273960,1
5.546846,0.901204,0
9.286681,1.320617,0
-6.256620,-4.543573,3
4.672949,0.947331,0
5.281892,-2.091557,5
4.520490,2.418801,0
4.937714,-7.571895,5
0.054623,-0.384080,4
-6.841048,0.136095,2
6.483040,-7.593538,5
6.881052,4.513101,0
1.659259,5.336514,1
-6.667675,1.876365,2
8.861124,1.187571,0
1.280366,-1.812312,5
-0.215737,9.549491,1
0.222716,-8.716109,4
-3.389322,5.849203,2
-1.091621,-7.091097,4
8.308828,3.899578,0
1.032844,-4.928295,4
-2.530234,-4.396641,4
2.179035,3.378404,0
0.876025,3.591594,1
1.004732,6.927856,1
-1.852641,0.401153,2
-1.818280,1.673377,2
2.874494,-7.551234,4
-1.505328,-6.833106,4
0.370773,-1.435492,4
-1.055624,-5.707220,4
3.707940,1.897351,0
-1.891333,-8.609104,4
0.301606,-9.264540,4
8.755519,2.935276,0
4.953662,1.791600,0
-0.658569,-5.889350,4
-2.833402,5.563259,1
3.469798,-0.460296,5
4.260018,7.511573,1
