x1,x2,x3,x4,x5,label
9.618712,-6.901271,1.854503,7.674594,6.675656,0
-3.229669,-4.363728,-4.144593,7.209008,-5.194232,0
-6.987929,-3.684952,-2.921642,-8.397994,2.474053,1
-7.777421,6.464321,-0.429986,3.598476,-6.370011,0
-6.516102,-1.473579,-2.864028,-7.950386,7.166237,1
-3.289034,3.517029,9.163683,-9.314825,4.571781,0
4.204851,-8.220718,-3.136782,-1.141440,2.208024,1
-8.940287,-1.225391,-2.312963,0.579293,-4.908494,1
1.238085,-6.397213,-1.753577,4.491330,5.478381,1
6.429933,8.275015,-8.843210,8.605302,9.254024,0
-1.839801,-6.028563,-8.236033,2.447303,-4.483469,1
-8.274207,0.385674,1.703900,-6.083241,4.147286,1
3.711381,-5.084769,6.463021,-9.295482,-2.352009,1
2.955888,-8.644622,9.808405,-8.690178,-3.677471,1
6.957679,8.522470,-8.147228,1.605805,-9.174802,0
-1.540771,7.117367,3.810747,-1.673631,5.057142,1
7.534696,-6.935631,-0.769858,0.418737,-0.058745,0
9.957871,9.614464,-1.364940,-6.943226,6.905631,0
-8.807772,-4.867705,-3.200631,-3.799531,5.219173,1
8.035669,-2.100959,-9.556323,7.703073,-1.373522,1
-6.265900,-2.059622,-2.715759,-4.677373,1.402965,1
-9.872333,7.104809,0.882184,-3.585251,9.276119,0
-9.105444,9.414092,4.788496,-7.425910,5.012332,0
5.775961,5.169934,6.775890,-0.933572,-2.933820,1
7.678527,-3.974826,-4.160248,-1.967720,7.398876,1
-9.475485,9.614562,9.288508,6.929924,-7.739387,1
5.450373,2.324217,0.714294,-9.615630,3.143787,1
8.345702,-8.658741,-8.671912,2.136856,5.296664,0
-5.836756,-2.683434,9.814195,0.945715,-9.602768,1
-5.993520,8.196247,-8.045322,2.552729,-9.539834,0
6.080598,1.020192,-8.042266,-0.806466,0.438894,1
0.616923,5.848763,-0.556865,8.597387,3.154813,1
-3.732174,-2.112628,3.610502,4.444514,-4.434009,0
-0.289342,-5.600715,1.072421,-6.414243,8.017172,1
2.896439,7.627456,0.537721,-0.433842,-4.037745,1
1.735842,-8.249288,-8.652339,7.263715,-4.554523,1
6.684259,3.460353,-3.938317,2.472059,-3.199680,1
5.007071,-4.499942,-9.316899,-7.784710,1.363899,0
5.066846,6.914811,0.482552,-8.286887,5.702236,0
2.588935,-0.986161,-2.599629,6.536075,-0.892084,1
