class,x1,x2,x3,x4,x5,x6,x7,x8
0,223,160,229,140,186,236,218,34
0,64,6,251,147,69,92,192,91
0,37,228,103,156,5,63,76,198
0,201,14,168,96,5,59,1,43
0,27,119,128,161,134,207,166,189
0,92,85,10,184,73,97,77,0
0,215,87,63,237,125,196,212,71
0,68,189,63,36,76,67,141,74
0,29,229,160,37,120,82,165,161
0,107,224,161,118,105,3,141,178
0,126,199,169,40,147,131,140,80
0,112,244,85,0,55,66,169,9
0,126,30,70,253,240,172,184,231
0,176,49,85,66,206,79,227,58
0,60,251,232,203,33,80,234,14
0,52,164,206,142,180,116,34,179
0,133,62,41,37,48,228,101,162
0,235,14,76,26,114,174,3,190
0,226,156,208,203,23,157,103,151
0,68,17,85,248,55,159,222,123
0,130,34,7,28,169,97,78,48
0,18,178,158,92,83,235,3,202
0,203,118,193,36,0,97,25,135
0,216,220,34,22,186,113,141,152
0,126,109,24,149,12,54,216,211
0,153,190,6,86,230,86,166,199
0,254,244,22,80,235,68,90,63
0,215,78,229,83,251,131,70,131
0,255,47,24,19,112,136,8,34
0,31,22,9,51,145,179,40,48
0,126,25,181,66,240,165,202,213
0,212,235,173,122,68,87,174,206
0,198,16,39,80,53,146,166,158
0,212,2,204,135,122,53,19,146
0,53,69,180,255,120,30,139,110
0,143,236,56,216,53,176,133,156
0,254,34,20,222,34,21,204,41
0,203,111,70,80,161,201,78,91
0,57,90,29,42,55,132,30,143
0,13,119,39,234,185,53,111,44
0,47,119,83,203,240,246,116,162
0,148,231,67,203,23,208,10,138
0,201,6,63,177,217,226,90,133
0,48,36,119,104,197,54,248,152
0,230,95,56,35,127,67,162,131
0,82,185,193,105,53,214,15,102
0,222,72,132,91,227,117,197,188
0,31,77,56,172,120,159,94,91
0,145,67,20,141,135,156,188,43
0,248,57,100,80,65,255,90,162
0,254,169,13,211,94,92,215,90
0,181,44,250,155,55,198,194,76
0,108,176,100,241,88,158,77,50
0,132,71,97,196,240,179,47,190
1,59,146,65,253,245,228,88,155
0,141,147,252,166,219,98,154,252
0,68,166,203,50,154,249,105,229
0,66,124,128,192,69,131,43,4
0,137,134,229,118,252,124,153,183
0,154,231,85,40,240,156,126,44
0,189,103,234,88,193,132,200,110
0,67,175,76,129,161,126,138,138
0,130,235,91,51,189,73,178,56
0,235,234,229,214,252,48,218,71
0,55,207,190,61,233,168,220,152
0,129,106,230,189,162,66,90,85
0,65,73,210,104,115,225,179,51
0,31,108,136,210,149,131,169,12
0,67,20,154,102,5,120,77,15
0,240,56,4,80,240,47,78,49
0,219,146,197,113,26,11,29,143
0,105,226,190,40,200,126,30,217
0,7,77,181,80,219,152,102,40
0,161,84,196,166,170,141,43,117
0,53,21,180,253,12,19,133,108
0,70,224,28,75,211,145,29,74
0,113,60,232,65,169,175,12,218
0,8,187,151,145,60,93,175,149
0,13,211,114,45,69,19,162,10
0,65,53,37,75,186,14,165,244
0,204,167,224,253,22,54,4,108
0,72,225,181,46,228,46,149,24
0,225,20,168,36,37,208,27,48
0,48,35,77,120,148,182,45,62
0,92,165,11,196,50,174,10,131
0,39,119,56,214,88,81,61,6
0,50,29,52,164,68,153,8,241
0,88,244,132,199,217,196,162,248
0,235,170,208,213,74,124,130,115
0,213,35,128,79,53,194,24,179
0,161,248,114,118,19,22,239,24
0,219,98,136,75,196,223,85,34
0,113,86,55,20,224,180,234,70
0,49,255,8,118,92,226,62,28
0,246,138,84,80,246,219,87,101
0,103,2,132,36,145,74,77,149
0,60,207,119,153,130,146,211,124
0,176,83,123,157,219,68,3,148
0,141,157,244,140,53,137,101,14
0,208,119,115,114,73,117,43,62
0,100,108,234,94,191,154,107,91
0,65,200,188,213,246,146,77,166
0,10,186,169,222,3,113,27,108
0,194,79,185,130,88,233,76,101
0,1,132,129,186,65,45,169,129
0,176,232,128,64,150,59,25,76
0,24,254,22,224,134,54,29,89
0,212,155,100,149,162,153,102,107
0,198,122,234,76,246,151,218,143
0,209,24,25,82,199,123,218,245
0,121,111,142,30,53,15,149,214
0,187,27,82,214,5,186,70,12
0,69,133,70,132,2,176,242,88
0,212,103,103,77,66,152,73,142
0,211,65,63,126,135,85,145,128
0,215,60,99,192,97,126,94,10
0,150,199,179,136,187,195,100,15
0,48,165,219,24,99,123,43,183
0,241,34,212,132,13,160,202,0
0,138,39,2,217,251,162,138,16
0,230,39,215,118,5,134,181,131
0,213,234,112,142,152,93,31,151
0,208,62,76,7,121,252,28,27
0,212,1,195,25,214,73,202,136
0,46,32,221,203,111,76,8,111
0,149,71,3,140,232,117,94,10
0,13,119,70,242,22,27,154,165
0,79,79,88,147,204,226,202,209
0,174,241,184,228,5,137,78,183
0,68,57,56,198,23,176,133,14
0,170,73,43,104,120,152,39,95
0,26,75,65,35,37,146,61,111
0,94,16,9,80,227,225,69,124
0,224,61,63,115,120,134,225,162
0,252,189,212,181,243,59,161,26
0,239,194,232,166,126,11,129,143
0,113,174,22,234,61,204,35,19
0,88,190,128,222,238,25,184,95
0,62,98,76,247,21,176,99,65
0,68,238,219,82,115,149,196,62
0,40,137,232,253,23,92,73,110
0,117,226,13,61,134,112,113,79
0,210,207,150,141,102,158,129,178
0,135,166,147,154,103,141,105,34
0,160,10,254,136,85,246,19,93
0,51,189,31,27,120,228,234,10
0,40,54,139,169,84,246,7,152
0,68,208,213,96,192,130,136,108
0,51,231,95,118,180,224,68,241
0,222,16,156,124,89,184,162,245
0,61,101,103,82,115,74,239,138
0,79,5,206,252,162,207,47,6
0,86,125,221,157,191,115,8,45
0,202,168,136,155,111,255,35,62
0,158,101,204,136,115,245,25,2
0,210,30,159,195,60,22,243,252
0,248,4,81,46,240,233,48,59
0,149,54,12,190,241,196,130,121
0,61,8,153,82,37,246,36,110
0,29,170,76,176,19,236,119,213
0,197,106,72,205,102,124,138,255
0,255,68,182,214,181,177,80,198
0,17,146,190,189,160,85,149,28
0,212,47,189,16,33,190,62,59
0,3,147,233,51,168,78,29,241
0,8,217,85,203,169,73,181,48
0,99,208,208,214,98,131,180,115
0,117,164,161,214,38,153,10,245
0,157,87,78,134,237,160,45,120
0,5,71,204,42,197,59,180,66
0,185,151,238,203,22,92,19,119
0,153,219,219,21,128,109,169,62
0,201,119,11,64,36,93,200,10
0,92,168,168,61,60,131,126,221
0,116,72,128,195,65,0,5,251
0,107,208,42,239,53,131,0,199
0,227,169,158,153,184,149,251,166
0,193,231,233,214,230,131,105,89
0,65,60,100,97,60,139,202,92
0,204,244,9,163,115,228,207,213
0,113,133,77,191,20,186,70,11
0,255,10,252,31,166,100,73,12
0,70,244,243,7,210,153,116,155
0,187,24,216,35,7,146,127,138
0,201,159,185,124,199,54,78,91
0,130,130,210,215,19,208,103,44
0,13,75,13,0,55,246,138,198
0,149,131,137,222,178,97,127,152
0,70,92,119,230,56,52,24,213
0,172,6,100,195,50,112,95,160
0,67,21,209,16,12,209,200,124
0,71,68,253,104,63,17,9,173
0,174,118,217,81,162,35,2,232
0,201,187,181,5,169,73,202,120
0,65,216,247,203,5,246,193,161
0,137,224,219,72,120,131,172,195
0,245,109,136,53,84,54,202,250
0,175,205,72,222,217,196,124,241
0,65,19,38,134,60,87,1,124
0,92,179,161,80,198,94,70,4
0,141,88,9,189,85,32,77,124
0,60,211,76,76,23,179,70,248
0,180,110,95,83,112,184,37,50
0,113,140,29,241,9,201,129,26
0,137,197,181,172,227,159,179,241
0,186,238,14,251,33,159,63,95
0,248,224,193,238,80,238,98,136
0,20,85,77,209,236,39,245,152
0,0,125,85,156,5,141,96,74
