x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,label
-5.821945,0.836127,8.196336,4.795179,3.566919,6.233967,-2.817872,-8.182783,-5.962888,1.508934,1
-1.713716,-7.092123,8.139183,9.841908,6.372019,-0.642042,6.915415,-1.692316,1.058339,1.625190,1
9.582000,-8.671824,-6.343447,0.213354,9.917541,3.439503,-2.793335,-0.662266,-0.798497,-6.141826,0
-7.930843,2.395905,-6.881791,2.892378,1.692151,-8.022055,-9.614393,7.550307,-0.600941,-5.564136,0
7.534553,-7.252564,1.641156,1.250811,-8.426717,5.245556,-0.555578,2.228707,4.567185,-3.587128,1
1.801087,5.590198,7.878497,-7.791665,-5.856335,4.072395,-3.582185,-6.119379,5.625012,-8.219115,0
-0.802618,3.647573,1.445568,8.108327,4.688322,8.576936,-2.175000,1.032365,6.075480,0.380346,0
-2.506555,-1.886948,8.672615,2.642194,6.025086,-1.375748,2.729214,-1.855218,7.207416,5.398696,1
-5.117313,3.342622,7.316149,5.222508,-0.152776,7.632641,-1.597403,-9.110476,-6.771128,-0.762415,0
-8.567674,-3.014419,-6.691155,2.039476,2.538571,-0.491472,1.352189,-8.420424,4.730968,-6.760919,1
-3.166117,-8.358551,7.731268,8.125226,-8.303206,8.167824,-9.092749,2.815878,-5.808001,7.882127,0
8.927340,0.327904,-1.215632,-6.946429,-8.750209,-2.916616,-2.060403,3.089535,0.844744,-3.295715,0
-6.257516,-7.834762,-8.959778,-3.881723,-4.074652,-3.660434,-3.054230,6.363939,0.082577,0.155726,0
-5.123565,-4.011482,-8.689631,-0.102588,5.946887,-5.616497,6.967058,5.326359,-3.124809,-3.607933,1
0.700381,9.431207,-3.242188,-7.972456,-7.281264,-0.544400,5.224017,8.295554,-5.881341,6.805059,0
-7.149420,3.351813,-2.588533,-3.424314,10.036535,6.030268,8.783736,0.580574,-9.070205,6.806086,1
-4.617378,-6.302948,1.567769,-3.766767,5.702930,1.083985,8.481393,-4.360816,1.156051,-2.268681,0
9.050763,2.997846,2.567901,-9.802717,-2.291281,-7.435583,-5.623492,6.047730,-8.066297,-7.087821,1
-6.699022,-8.261986,6.528339,-5.027054,-5.541023,-2.043889,-7.652108,10.269426,-1.102861,4.240333,0
2.230112,-1.605464,-2.931925,-8.610709,-1.730115,-2.469630,2.011857,2.956042,-4.233923,8.404388,1
-2.122060,-4.828229,0.556241,0.710374,1.834254,3.555599,3.322255,1.678895,9.207594,0.196284,0
2.009504,-4.190623,4.940260,-2.395568,4.970185,3.689780,0.175853,-6.066872,9.183269,2.818599,0
-4.389753,5.347451,-8.327284,2.226397,-9.179009,-9.157975,-4.590978,-1.729587,-9.465110,-2.736704,0
-0.480280,-7.374619,-3.883051,-2.030859,-4.957913,-2.580594,-9.464522,1.993311,-4.269610,-0.328063,0
-0.859421,-2.084551,0.636193,3.780739,5.946858,-3.940071,9.657866,-8.217502,-0.779489,-5.913448,1
2.444470,1.095851,-8.802724,-6.745055,-5.980793,-4.258600,5.228921,0.996829,4.962365,0.557060,1
0.758238,9.298569,1.227800,0.092681,-7.971041,0.842251,-1.525673,2.591479,-5.174875,1.939064,0
-3.416384,2.724963,-5.967457,6.001419,0.886878,9.410143,-9.262162,1.243460,-8.974029,-8.190647,1
1.504199,-7.388850,3.078913,-0.595256,-6.116996,-0.553431,4.084608,-6.937049,-9.288511,-7.759091,1
-5.553110,4.277252,3.895487,7.319192,5.294758,-6.637090,-8.608797,3.507717,3.108920,0.308074,0
1.696740,-9.432868,7.533455,4.496865,3.724722,-9.279393,0.483055,3.527220,-2.621772,3.647648,1
2.826600,8.104359,-6.559810,-7.768943,-9.549257,9.163144,10.028185,5.163617,-4.095817,7.026570,0
-6.025409,-1.417625,2.334188,-8.539353,0.259130,-4.868725,-7.023897,-2.866387,-0.980604,-0.657869,0
5.983925,2.690122,5.908193,4.078375,-6.650325,-7.292168,-6.535091,-7.505683,1.297596,4.961610,1
-2.172438,1.122352,9.754038,-6.160058,-8.281156,6.389879,0.026111,3.346052,-3.688443,8.992754,0
1.358702,6.880569,3.813517,0.740177,8.426978,3.422734,1.574278,-4.908662,-6.277101,-2.889538,1
8.338305,0.347605,7.984396,-9.811117,1.690386,-6.750221,-7.113923,-0.904770,6.818706,-9.917449,1
-2.949151,-8.218227,-4.255527,2.048322,6.641348,-7.015728,-7.313725,-9.395892,8.929014,-0.634163,1
-3.927346,8.948357,-1.968818,9.738254,3.400691,1.401038,3.292149,1.625345,-3.632613,-2.969133,0
-6.452901,5.325909,3.577556,9.964826,-0.491661,-5.909224,-7.365380,-2.490555,-0.999802,5.174188,1
-2.053816,2.502052,-3.022669,8.693773,8.301389,-7.890626,-6.644068,-6.854194,5.508793,0.738760,0
-2.913163,-9.474965,3.725108,-6.405543,-6.976227,-2.983129,6.581365,8.850838,-9.115270,-10.061493,0
-7.528151,1.120095,-7.454767,-7.005908,3.775319,4.280636,-7.896640,7.391091,-5.642530,-10.008994,0
9.320256,-0.462818,-3.783918,3.317224,7.104452,-0.682046,-7.592851,7.545980,-6.693066,8.417492,0
-1.659233,-5.010049,-4.364550,2.535136,-9.732122,8.664331,-9.455813,4.554741,0.815716,-8.393810,1
7.093526,1.897429,-7.384871,9.439118,1.687386,-5.170956,0.750215,4.945795,-2.908171,-1.025105,0
-4.888909,0.313291,-9.339164,-4.106951,1.481918,-7.355730,-1.366053,-4.455732,1.957434,0.286988,1
0.654241,2.963317,-6.674190,-4.030947,-0.107062,6.028762,-5.769650,-2.582126,3.505901,5.902654,0
-3.263966,6.797169,6.828603,8.452376,4.139190,6.075849,-2.469964,-3.716521,1.090805,8.916064,1
