x1,x2,x3,x4,x5,label
5.956835,-6.222056,-7.772683,0.879722,-9.738268,0
5.483287,1.956447,8.564522,0.485242,-9.264680,0
-1.040118,-8.088638,3.664458,7.714151,4.750423,1
-0.825006,-3.417292,-7.325167,0.797756,4.661971,1
-7.282929,3.086577,6.011401,-9.679960,-4.325211,1
-8.765757,4.309827,7.692875,-4.831363,-0.549357,1
8.801861,-10.072991,3.933304,9.711975,-1.482793,0
10.043351,2.419496,0.073492,1.172591,-5.316692,0
2.181064,-10.027630,-2.626433,-1.310674,-9.613532,0
-9.110667,0.498221,-9.847710,-5.513827,0.244468,1
-2.030815,-8.789865,9.113832,9.452088,2.943691,1
9.593348,-5.230744,6.540186,8.013988,6.782761,0
-8.123366,2.408430,0.874146,4.083472,-9.927175,1
-2.335824,9.600237,2.961423,-1.482725,2.894244,1
-0.668989,7.313722,3.888156,-8.042083,7.490829,1
3.606074,-1.021330,-6.485364,-9.790793,-1.405859,0
-9.669357,9.062067,-8.206683,9.119546,-4.323757,1
1.279173,-2.322471,-5.528008,-4.760206,-4.332878,0
-9.455950,-5.513046,-8.748532,0.800132,-9.639896,1
-5.191929,3.834773,4.935406,5.354606,-2.006042,1
2.211247,6.661210,9.416380,5.635871,-7.538690,0
-6.465545,-2.178998,9.596965,6.902443,4.079812,1
-6.534658,5.187184,3.068986,2.095001,9.804520,1
-1.505708,-5.941143,-0.430152,-6.683440,-4.110827,1
1.342027,-9.276430,-2.495669,-3.671390,-9.392956,0
6.759846,-1.024776,-8.525457,-9.901434,3.582238,0
-2.142629,8.396852,3.290084,-8.637418,-3.696311,1
4.484053,-3.459761,-4.339755,-0.927907,-2.826065,0
1.380054,0.418647,6.410241,7.653608,-5.879180,0
9.488320,6.941390,-7.580040,6.786112,0.029916,0
5.048015,0.772875,-3.512531,-8.972150,2.122494,0
1.717558,8.952132,-5.845482,-9.246265,-1.103823,0
2.138015,-4.675526,1.942750,-6.572461,3.029063,0
-4.218826,-6.746394,-6.222242,-9.585202,-7.021352,1
-9.702919,-1.546690,1.739899,2.706191,7.295835,1
-2.052808,-4.150386,-8.752151,9.059154,0.438479,1
-9.301604,-5.715163,-5.088237,-2.691697,-8.886453,1
4.197556,6.079038,-7.798168,7.648029,-7.881839,0
2.189823,8.721253,-8.883208,1.965358,-2.345306,0
3.022587,8.558006,-1.881413,-7.594537,-9.116617,0
6.929065,-0.987054,7.314586,-2.209237,-7.797856,0
-7.999484,-2.500619,-5.994906,-7.941813,-0.438173,1
3.529887,3.354488,6.070094,-2.130268,2.397917,0
1.794159,-4.498427,3.508918,4.241493,2.110617,0
1.222166,-2.408653,1.081760,-0.432301,-0.527903,0
9.856560,7.129736,-3.341358,0.090837,-0.418854,0
4.500426,-5.314035,-3.611471,-3.977038,-1.078629,0
-4.889936,-9.208258,6.060980,-5.045902,6.907900,1
4.222855,-7.751386,4.479212,-4.762160,-9.723480,0
-1.202386,-5.839132,-8.463600,7.657414,6.138543,1
