x1,x2,x3,x4,x5,x6,label
-3.189788,0.456917,-3.235254,1.936889,1.979751,-4.556352,3
-2.808849,9.292451,-3.618330,1.798126,9.775595,-0.618602,0
2.688231,-9.406333,-9.096466,-3.510975,1.803402,-6.440993,0
2.586508,-7.543122,-7.533001,0.578869,4.478279,4.653255,3
1.631407,9.727823,5.935510,6.711472,7.194653,-2.166823,0
6.725414,-6.198106,-5.299646,-5.900542,9.310557,2.818828,2
1.072034,-6.547457,5.718975,3.267155,2.135847,-0.124192,2
7.384857,-6.692836,-4.326697,8.414816,-3.724475,1.012205,1
2.341773,-3.753589,-0.825339,-8.475808,-2.631283,-4.682855,2
0.640853,-4.672053,-9.055834,-6.562992,9.945680,-3.097892,4
4.262005,3.784066,5.131064,5.318510,-5.514348,8.262571,1
-6.328573,9.261322,-2.329125,5.365250,4.557381,6.658799,2
9.094923,-0.058940,-1.537709,6.681617,-7.016312,4.340515,2
-1.525019,-7.830557,-7.788944,1.700345,1.320510,-0.832764,0
3.890427,7.539478,-8.363302,7.360718,-4.564850,4.980765,3
-9.335960,7.816290,7.292493,-8.770232,2.822537,4.951998,0
-2.557299,4.861842,-6.128204,2.213388,-7.460939,6.864328,1
4.153396,4.045764,7.604426,5.754033,5.211168,3.153839,4
-0.868035,-8.903278,0.944841,-7.179814,9.066126,-6.490239,0
-1.358393,2.947454,0.244430,-6.960215,8.574175,-0.067807,0
6.285298,-4.640409,6.098577,-9.838761,-2.859968,9.158502,1
-0.833100,9.492579,-1.080702,8.268100,1.123174,5.857001,4
1.738539,7.368262,-8.312920,8.566393,9.519507,-7.238912,0
9.563989,7.387163,-1.557187,6.263365,2.735854,-0.513125,4
-9.028723,4.481951,3.201333,-7.008381,7.085335,3.175358,0
0.788294,7.724213,-10.060803,-0.316590,-3.854372,6.386287,0
8.768817,4.656763,-4.354104,-8.942096,8.091993,6.073088,2
-8.577128,-8.101640,0.591531,2.162607,-5.134498,-5.258637,0
-0.372284,6.786856,-1.250259,-9.225270,-8.831007,4.036695,3
-5.819122,-6.016904,-0.307482,-0.483697,-8.893761,-5.337775,4
6.601591,4.702147,-6.757812,0.594888,9.816179,-2.940072,4
-1.259348,-3.496657,-5.816936,-7.999550,-0.615867,8.767242,0
5.166889,4.846396,7.078657,7.727504,5.418666,8.176759,4
-5.608612,-8.372421,-5.032977,9.259991,3.574611,-1.734471,2
3.368856,-4.756278,6.807647,-7.835390,0.381794,1.332133,4
1.459736,9.668542,-9.498906,6.476487,-8.672810,7.516092,4
5.545766,-1.057826,0.312990,-8.102987,-1.644313,1.992128,1
-0.764773,1.609102,-5.690245,-2.528363,0.857423,-1.044945,0
-8.938087,-3.157350,7.398390,-6.390161,2.977680,-5.872694,3
-8.130459,6.554812,6.604915,-0.025635,9.240305,-5.212607,0
-2.074900,-4.528909,2.388467,1.481712,-6.562419,5.430766,4
-6.198467,7.073899,6.018578,9.033913,7.238857,-5.629611,0
-7.254656,-0.009958,-6.611478,6.625308,8.238713,5.574928,3
0.900229,2.331880,5.631771,7.193279,-3.169789,4.729472,2
-6.933610,-6.149052,-1.196880,7.788541,3.141857,-8.794367,2
7.405440,7.891593,7.204069,4.550574,8.120210,-5.356779,4
-6.900624,-1.191194,-7.713618,-4.876715,0.195642,-5.922127,2
-6.293671,-3.551433,7.558626,-9.566307,6.013934,8.489070,3
-3.493439,-8.774045,9.335987,8.721135,0.664959,9.293677,2
3.201067,-9.227906,-0.774431,9.857821,6.054562,-6.385778,0
-4.368701,2.689765,3.101469,6.597322,-3.129232,1.087123,0
-0.663111,9.505602,7.455216,5.759358,-2.074719,-0.171438,0
1.048610,1.740019,3.239623,-5.734852,3.804839,2.674725,3
-1.258072,-0.418486,-5.495105,7.763010,-3.497704,-3.941879,0
-1.796476,-4.716306,5.427899,6.872621,3.099932,-4.704159,0
3.955622,3.681589,-6.244502,-7.808043,7.238955,-9.652632,4
6.031203,8.526260,0.435318,-8.887522,3.897005,-1.558727,1
-9.039391,3.506144,6.278655,-6.236904,7.241476,2.614389,4
2.822074,-0.156981,7.990012,-0.969361,7.729284,7.117934,4
2.613297,6.067925,-2.968652,5.826426,-2.189489,2.422180,1
-3.047381,3.210117,0.260855,-0.280275,-0.827814,0.117488,3
-8.395937,-5.277860,5.008198,-8.435204,6.471772,-9.165394,3
-6.074757,7.467833,2.710833,-4.806092,-1.886059,7.658023,0
1.011584,4.159526,2.505590,9.483439,4.254573,-8.182878,2
0.514107,-4.835736,0.159579,7.210840,10.293122,1.316749,2
8.913439,5.417327,0.338117,-6.485677,0.196775,-2.746934,2
4.829108,0.399570,7.057427,-8.825944,-5.797742,4.336742,2
-9.400187,8.200325,-7.004036,7.762189,5.306456,-5.792172,2
-1.853688,-9.195551,3.110022,-5.410416,7.679018,-7.930299,1
-0.593936,4.483672,0.236971,1.541135,-9.622793,-2.654542,1
-0.745269,-4.681369,5.958408,9.544999,2.672047,-2.384022,4
-6.180500,-3.182897,-3.468916,-2.579583,-1.473866,-6.435508,2
-1.692074,7.637993,4.946868,1.329453,9.509826,-5.455600,2
9.281205,9.049265,0.613603,1.724976,-8.396984,1.462984,1
-0.991795,3.843497,-8.869824,-0.073131,-3.424098,-7.750361,2
-2.295332,8.596648,-8.882588,-2.117604,-2.981181,-3.158272,3
-7.717176,-0.722638,-8.812800,-4.877734,-9.845025,1.655583,3
-3.356929,1.850008,-2.667135,-7.143456,6.191980,-3.397703,1
-4.119606,9.653618,-8.876465,5.284697,8.937524,10.157866,1
-0.433486,9.554030,-4.748421,0.973311,-3.411747,-4.254475,2
-1.025346,-9.309244,-1.148482,8.508511,-4.859967,2.562253,4
3.841251,5.445584,9.218036,-7.065773,4.702389,-1.452477,2
-3.171994,-0.732516,-9.184799,7.354022,-4.314957,7.162526,4
2.876243,-1.463276,-6.482079,6.682678,3.311580,-6.098449,0
-0.954598,-2.102984,7.968089,4.813594,-3.651792,-4.334615,3
-7.485127,4.006352,-8.261991,-5.459746,-5.656940,-2.214970,0
-2.941000,5.456909,3.108240,7.005579,4.642050,3.158327,3
4.134917,-2.718903,4.632854,-2.683599,-6.243491,6.682318,3
-2.304150,-0.782195,-2.590287,7.700782,9.620648,-5.700075,3
2.198220,1.360246,5.798839,-2.662179,-6.852684,9.434932,3
1.940961,6.368179,2.060104,-0.619173,0.031751,9.460888,2
6.328291,-6.618452,5.820990,-4.007257,2.732014,0.510080,0
0.777212,-3.696257,5.790942,-3.537101,0.602716,-0.375381,1
-4.797895,-1.761761,7.295688,9.664889,-3.605241,7.950958,2
-0.116039,-9.680998,-2.983656,-4.385042,-0.527235,-3.168486,0
-4.648643,-1.850838,5.566903,-7.979980,3.326207,-9.244640,4
0.977989,-4.856143,6.271661,-6.873259,3.319620,7.913440,4
-5.105670,-2.945518,-2.529423,-5.483505,-5.768632,-2.897724,4
-9.100272,7.560737,-9.267854,-3.788341,1.649925,-1.556396,4
7.445652,-9.260497,-8.522124,3.123539,-7.838291,3.827450,1
-8.316424,0.024005,-9.645213,-4.573641,4.713976,4.322758,0
-5.195793,3.981977,0.826641,-0.934887,-1.189928,-6.822154,1
7.047081,0.281093,5.717509,-2.307922,-6.677260,9.420084,3
-5.961074,7.226225,-8.864993,-0.921784,-8.822910,-9.783659,0
4.934949,9.060574,-1.445500,6.566115,3.929939,5.834190,1
-1.195357,-3.002441,-1.782926,-4.777276,2.687183,4.530286,1
4.439400,-9.795876,0.616364,-5.111603,-10.201372,8.593487,0
-2.308751,-3.644559,-5.600155,2.574104,7.845498,8.085701,0
-1.652528,5.324569,-1.237757,-6.485677,-7.503646,1.538144,4
9.015424,5.091762,-8.285656,1.759174,-4.333022,-8.804737,0
4.228549,5.345994,6.038552,-0.050411,5.276374,9.437298,3
1.003408,-6.805823,-7.172217,0.223163,-4.015776,-6.447040,4
-4.832283,3.399578,-7.318304,6.670860,7.775675,9.065396,2
-6.402334,-2.643458,-4.947863,3.446880,3.343327,0.627083,3
9.968087,7.254564,5.799725,9.000099,-8.831737,-3.673604,1
7.864673,9.380605,-6.636060,4.389793,-1.251657,-7.364747,2
-9.320598,-9.217346,3.142851,7.391552,-7.728997,-4.512753,1
-9.081328,7.187301,3.864860,7.309892,-3.132383,-9.949060,3
-8.647090,1.583872,-4.590436,2.915341,5.746918,8.614629,3
-6.464408,-4.960585,-3.922402,-7.337388,-9.214214,6.386508,4
-5.542870,-1.749177,-2.530816,0.830383,-9.256648,4.539114,3
-3.485929,-7.990092,5.327916,-2.832288,-5.460451,-3.298962,0
5.735697,10.076938,-7.088693,6.504109,0.078134,-1.365149,1
-0.673382,-0.314809,-0.447717,6.651373,-1.224336,-4.702806,0
