class,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
4,25,21,95,85,10,54,96,93,14,19
1,82,54,14,24,3,86,90,26,88,58
4,48,77,68,55,60,8,39,52,32,21
4,64,6,59,2,69,40,19,52,35,17
0,54,64,75,30,34,18,78,66,10,89
3,68,49,71,32,1,77,78,89,85,6
4,43,52,68,34,58,30,81,23,64,41
2,2,69,88,86,86,39,68,7,79,77
0,89,44,7,20,39,64,50,63,90,61
4,69,3,23,48,84,42,91,26,8,77
4,62,96,38,59,20,51,47,81,55,77
3,48,27,94,16,25,92,15,43,30,78
4,98,41,59,59,20,49,13,76,23,47
3,23,4,7,93,1,34,39,41,53,88
3,96,75,58,47,56,71,78,99,69,23
4,49,23,23,12,14,93,91,1,87,99
1,37,99,64,79,80,34,53,29,89,68
4,36,50,77,9,29,45,52,7,64,55
0,82,88,94,54,1,8,27,86,46,96
4,47,82,52,71,57,77,90,86,32,35
4,24,57,68,94,2,1,92,42,29,3
2,46,57,18,5,51,88,22,27,87,8
4,82,88,71,50,49,89,52,93,17,41
1,2,78,14,74,39,34,26,85,26,84
0,73,64,76,26,47,9,15,19,87,17
0,88,72,38,19,12,81,73,29,58,43
4,19,96,30,73,91,54,96,69,30,41
0,52,51,59,39,73,77,11,23,14,87
4,43,25,63,2,2,27,19,45,13,4
4,89,77,16,85,57,32,13,87,53,56
2,43,8,86,7,1,86,56,66,71,3
0,26,81,59,80,62,49,95,60,64,61
4,54,43,66,58,91,80,7,69,62,48
0,50,69,23,80,13,87,28,35,90,28
4,79,80,19,74,85,64,87,80,29,72
3,88,97,76,73,8,21,30,7,10,54
1,49,5,3,33,9,20,19,26,39,41
3,38,31,7,1,47,9,96,89,90,69
2,48,77,5,34,52,8,81,18,61,41
4,36,33,75,13,13,74,21,34,23,29
4,72,36,63,58,64,51,9,85,30,29
3,2,47,32,73,38,21,52,27,27,5
1,51,58,84,62,39,90,42,55,30,60
2,79,77,76,79,21,40,83,52,10,34
2,54,14,81,77,31,38,27,2,69,60
0,73,93,76,60,1,56,15,19,89,70
0,15,47,71,25,13,7,78,26,15,29
0,97,0,80,95,71,91,6,92,20,77
1,68,72,32,62,43,70,21,7,63,99
1,77,15,25,62,66,34,59,32,85,29
4,25,49,66,82,56,48,55,47,14,26
0,65,69,45,1,83,20,44,2,54,55
4,40,80,63,58,50,38,88,96,64,88
2,68,84,32,42,31,49,78,17,12,33
1,30,21,81,81,49,80,52,73,63,24
4,53,19,6,14,68,18,78,53,32,52
0,19,36,7,67,1,21,59,44,83,98
0,12,3,15,26,86,37,38,31,95,38
4,85,51,84,49,8,93,86,48,5,74
2,31,23,71,58,13,27,81,18,29,31
4,74,73,39,36,69,92,56,57,77,44
4,3,30,48,52,70,70,71,76,97,3
4,48,34,63,35,33,66,15,26,11,73
0,25,19,85,67,43,90,65,87,35,96
3,62,1,11,79,32,32,90,22,63,45
4,54,49,6,44,10,93,56,54,64,69
0,17,63,69,15,80,21,49,20,41,93
4,52,38,3,23,35,56,22,87,49,65
0,37,25,32,90,84,19,27,68,61,91
0,98,0,77,28,39,81,71,20,13,9
4,6,21,43,32,86,41,22,17,4,0
0,20,25,99,26,78,29,86,19,64,22
1,8,0,31,47,57,93,91,60,11,93
4,36,52,32,90,89,8,52,54,57,28
2,42,51,26,58,49,54,82,2,63,38
4,17,53,32,30,45,86,65,79,59,52
4,44,3,82,47,57,61,45,19,41,96
0,58,53,7,26,40,39,16,91,10,44
2,24,3,58,90,9,98,41,2,73,56
1,29,15,61,47,12,42,51,19,45,84
2,15,11,67,1,39,43,53,7,27,61
0,61,25,21,26,43,42,19,48,79,24
0,53,73,32,54,1,42,15,79,85,87
4,88,28,2,47,82,48,95,71,35,13
4,16,97,68,58,29,92,6,34,47,64
4,83,49,87,89,85,43,65,87,6,56
3,82,77,6,60,76,93,56,41,78,77
0,21,73,87,12,48,74,1,76,32,13
3,61,76,24,3,61,93,4,96,64,93
4,21,93,85,59,42,82,42,42,64,94
4,36,3,79,19,49,22,63,28,23,34
4,33,64,88,73,29,72,67,68,47,44
2,23,66,63,67,1,4,3,32,54,74
3,19,28,9,48,20,89,5,87,27,27
3,1,44,76,73,39,80,40,1,10,11
2,13,72,17,30,49,94,26,29,69,94
3,55,30,57,17,68,96,30,64,20,8
1,65,77,72,54,93,81,90,24,57,61
0,40,72,61,89,86,48,65,22,12,51
4,77,77,15,73,86,21,68,39,67,27
