x1,x2,x3,x4,x5,x6,x7,x8,label
-7.581032,-4.006035,7.128317,-4.135399,-2.397450,-5.735043,2.970394,2.064207,1
4.235342,8.584055,-7.726428,0.558066,-4.358668,2.920484,-6.340120,4.454493,2
-2.374488,2.558581,-5.616086,5.327502,9.545838,-0.451222,5.917530,3.866514,1
7.062577,4.517066,-4.504017,6.119716,-1.059184,7.361926,8.487433,-4.043656,1
-5.202782,1.041477,-3.124760,4.633557,-2.949443,-4.018585,0.741793,-8.829167,0
2.810736,3.458933,-9.879148,6.989118,-8.664254,-3.028830,5.887450,-7.219442,0
-3.615898,-5.351502,-2.777511,7.230159,-3.457687,-3.881883,2.488856,-3.566319,0
-4.825233,6.324780,6.456331,1.814647,0.205203,-2.482181,-1.610278,7.870894,0
8.257454,-8.284856,6.548363,-2.006962,-6.225679,2.031386,-0.260264,-7.209561,2
-0.612746,2.368379,-5.670455,-7.521111,1.925317,9.301903,0.119133,-3.729740,2
-8.694157,-4.847017,-0.194085,-2.423512,-0.618825,8.503462,6.405636,1.692605,1
0.640885,3.198303,-3.112357,2.211077,8.217583,1.898869,-6.519668,8.167814,2
6.844711,-4.431473,0.380221,-4.804041,-6.890368,4.234294,7.456719,-5.508827,1
5.531035,7.187159,-6.701775,-4.675561,9.173467,7.051640,2.855505,1.740384,0
7.774673,9.352530,-10.074597,-6.483339,-1.895446,-9.648644,8.841949,0.131484,2
3.137510,1.140569,5.994177,-4.712276,-4.439395,-5.426054,0.158419,7.663540,0
-1.073028,-2.413975,9.814532,8.676643,7.052620,8.672219,-8.109789,9.752474,2
-1.049778,-7.106449,-6.773279,2.579128,-5.512544,6.519805,-8.454230,1.007533,1
0.079541,3.667794,9.445524,-0.214898,-10.278344,-9.654117,2.350282,-2.519518,1
2.198177,8.031106,-5.199515,8.166121,-9.636555,-1.803403,8.481119,-9.995474,2
4.520829,6.539413,-0.232961,-8.665003,-6.130842,-1.647380,7.541110,-6.742685,1
-4.376125,-3.309480,7.569099,-5.276272,-5.449990,7.961547,8.021084,8.175281,2
2.934129,-7.386519,6.875020,-4.527360,2.586480,0.637504,-3.365772,6.276703,2
-7.112628,-1.051373,-9.712675,-1.511315,-3.771417,-8.986547,-7.573352,2.254192,2
1.436365,4.471606,-6.181352,-8.980462,-2.432414,2.540319,-2.167119,10.044298,2
5.835755,-0.235314,2.374464,7.864564,3.595006,1.279632,3.732764,-6.163421,1
-0.083182,1.899443,-6.380824,4.885733,-8.909129,0.964891,3.204226,-2.484700,1
9.588936,-3.221300,9.194732,4.483987,3.406023,-2.799661,0.500426,-2.903350,2
6.282603,2.765418,5.288330,-9.302077,4.802806,5.213446,8.404077,2.420647,1
0.595779,-1.211091,8.815803,-0.968764,-6.305537,0.822996,8.228415,-8.757269,0
6.299421,-9.253550,-0.676477,5.397186,-3.345308,3.069159,-8.646054,5.424129,1
-6.017344,8.797942,0.689536,-2.096274,4.087708,-0.802449,7.149065,-5.596827,1
-0.231092,-4.447115,-0.935776,4.490974,7.335281,-8.671493,4.230688,6.503512,2
5.285309,-4.036312,-1.233884,3.330922,7.605265,-6.053438,-2.011954,-2.718467,2
2.331796,-5.474842,3.332386,9.102186,6.855023,6.583248,7.513901,6.394215,1
3.344379,-5.883020,9.630180,-3.151191,-8.231661,-1.366522,9.170431,1.958222,1
-1.771736,-0.975955,8.536984,-4.643946,-9.102841,-4.497712,-5.708137,6.544341,0
-7.644463,-9.857184,0.510223,5.225575,6.273088,-7.418963,1.058832,4.004148,0
1.248859,1.647040,-2.158072,-4.799151,5.669740,-1.098127,5.582259,-3.927336,2
-7.816254,3.630354,-4.770459,4.225401,-6.293005,-1.421037,8.195126,-0.761717,2
-7.633440,6.158892,-5.344483,-9.573719,-5.595594,-9.694773,6.089833,1.064396,1
-7.318376,6.007413,0.935039,-9.570473,1.669534,3.189368,-7.516813,-2.901614,1
-6.540962,8.846276,5.873536,-0.677798,-9.463681,-7.679914,6.418628,0.319081,2
-6.284901,-5.091640,3.035137,6.082124,7.903933,0.094459,-9.612069,-1.591270,1
5.290752,-9.710289,-4.190546,0.241517,-8.335295,6.488098,6.360780,5.628446,2
7.002560,3.551204,9.045226,-2.242607,8.686353,-9.897702,8.942961,-4.741806,1
-2.801541,-4.444899,-6.633678,7.819144,-2.416170,-3.102147,-6.067659,-2.026416,0
-5.765174,-2.927273,-3.220908,-9.471213,-1.991324,0.508668,7.184810,-0.338908,1
7.340951,-5.674062,-3.757532,5.966404,-3.260072,-3.181992,-3.626992,0.635942,1
5.841234,-1.824528,-2.071026,-7.954377,8.974089,1.810062,2.671869,-7.787290,2
0.044034,4.247585,-1.349753,7.292187,6.781420,0.380575,0.971112,6.748736,1
-6.532068,1.983927,-2.113077,-4.481675,7.971126,-4.290804,6.289562,8.431697,1
0.572084,-6.053521,-4.347894,9.635855,-1.828377,8.951071,-7.715814,2.859582,0
-3.935205,-0.673228,9.930277,-9.829687,8.386234,-9.113841,-1.304712,-0.829238,1
-1.302501,-3.292730,-8.074697,-0.645555,-9.380026,-8.502528,-6.139892,-5.487447,0
4.303242,-6.183939,9.332032,7.305402,-5.705373,3.049729,-5.396291,1.981515,1
-7.350054,7.201420,-7.109655,0.790947,10.381236,4.764698,8.579043,-5.601332,0
-1.912026,-7.346737,-0.625609,-2.655819,-4.092733,1.244190,4.568699,-4.033773,0
-8.430535,4.335107,-8.465313,4.097649,-3.263099,4.293099,-9.264671,-10.115600,1
-5.486041,8.839478,-0.142436,-7.916269,4.409079,6.354356,-0.137015,-3.782115,2
4.851041,-8.106958,2.484367,-3.332710,-5.767402,0.656216,-2.855448,3.625613,0
5.447898,-1.643387,-7.781749,9.396276,0.447837,9.791808,2.162779,4.711439,0
5.273610,-1.241870,-2.741623,-5.702716,-2.459014,4.237706,-4.769946,-4.160660,2
-4.334260,-0.609676,-1.697671,-6.446924,5.940406,8.501052,-6.452841,0.768788,1
-9.337990,7.604815,-4.815690,-4.894961,-7.183856,-6.584937,7.579747,6.498710,0
-5.217792,-6.862330,2.111733,2.025579,9.151096,7.986624,-7.991821,-2.242412,0
6.703011,-7.489687,-1.997024,2.343897,2.090421,-1.813596,8.929760,3.237761,1
-4.816096,0.293954,7.290301,-6.615805,-6.535916,3.663137,-2.510975,-5.793981,2
-6.213435,-1.832536,-1.381274,3.419046,-1.213983,0.512175,-3.969756,-4.924226,1
-3.862664,-0.632029,6.299808,-8.691230,-9.542189,-5.450595,-7.139454,-8.493706,1
1.343843,3.139400,-4.720307,6.167322,-9.471606,6.000181,6.785929,10.033199,1
9.070230,5.544971,5.899888,5.053856,-0.712615,-1.691817,5.830919,-3.306114,2
-3.203601,-8.477932,6.856737,8.103377,-8.715772,-8.262384,6.492513,-5.658151,0
-6.165654,9.272185,-0.576495,6.856904,-6.525837,8.826115,-4.777051,-2.770582,2
-9.936624,7.794213,0.347366,4.443821,-9.919100,-0.223686,-5.702347,2.612053,1
8.300850,-7.466573,9.467343,7.803387,0.048925,-6.036452,8.964940,4.898575,1
-0.564152,2.180422,8.994274,9.525202,6.650843,-1.867766,7.603415,-5.249489,2
1.569070,9.606609,4.373778,-3.312777,4.997481,3.967892,-6.857957,6.289904,1
5.640904,-8.784948,-1.105089,4.360761,-6.617180,5.783198,-10.120681,6.846945,2
3.044069,1.218610,1.816422,-2.176295,8.993899,-6.430512,7.779732,5.797836,1
-0.322657,-1.274784,2.798676,1.843723,4.250677,-9.364606,7.976418,-7.592661,1
-2.094321,-0.106256,-7.218606,-1.334289,5.353233,-5.580360,-4.246852,-5.987646,2
-4.628480,-7.154481,2.536180,-2.351066,7.782294,7.322794,0.386710,-9.098076,0
-4.590324,-5.211226,-8.822729,4.036879,-0.114178,-3.357736,2.717762,0.033571,1
-8.458417,9.855838,9.112368,1.019844,8.886159,7.525373,1.819086,-10.073255,1
-9.587213,-5.885155,-1.680168,7.707597,-7.415723,-0.302312,-4.441400,7.705586,0
9.759871,4.785825,-6.692322,3.435575,-2.540001,-7.490222,3.876041,3.820357,0
3.580712,-8.429595,-2.032213,-2.884411,-9.718711,4.648782,-9.412927,9.021937,1
-1.187500,7.032958,2.594871,-6.790731,1.779419,0.532259,3.477324,-4.795339,2
