x1,x2,x3,x4,x5,label
-6.362320,10.443937,1.289872,-9.097811,8.856570,1
-5.848447,5.120932,-7.189302,0.299093,3.570578,1
-1.900343,12.287733,-1.336203,3.208036,1.522284,1
-1.641032,4.678086,7.091500,3.023469,-6.678350,1
4.442618,11.185472,-5.555597,5.595305,-5.234611,0
-10.936793,5.167817,8.046452,7.400642,1.832017,1
-9.895912,17.598356,5.177237,2.842340,-4.280088,1
4.636870,4.322500,-3.281245,-7.967510,5.312879,0
3.348920,14.832393,-2.173489,-2.343449,7.680860,0
-10.091484,3.962907,1.146015,-2.345217,8.944579,1
-14.580430,18.332791,6.960468,-0.218505,9.483468,1
13.547421,16.809203,-6.532477,-1.439213,-4.094007,0
6.270524,4.913534,9.203744,-0.187383,9.570783,0
-10.507320,15.820938,1.231308,-9.271301,3.893110,1
3.245588,15.881966,-1.691307,4.986234,0.848772,0
13.306429,18.845821,-4.490767,8.685278,-1.215727,0
11.587346,15.069913,-5.321790,5.782364,-5.056870,0
-8.570385,3.540883,-3.549141,6.315384,5.584015,1
6.688308,18.815879,-5.125274,-3.362254,5.364086,0
-5.294604,1.951359,7.572820,-9.353679,4.667350,1
15.204808,5.637875,-5.314321,6.293748,2.251469,0
-2.714989,5.906619,-2.737456,-0.062650,-5.338633,1
-14.179147,5.870833,-7.326569,9.627831,-7.209890,1
2.113024,10.911465,-1.297421,-1.547569,1.717564,0
7.262661,12.483258,0.740631,4.467348,-0.530251,0
4.537848,9.004555,-5.682204,5.060765,-5.096492,0
3.788766,6.771555,-6.511202,9.967281,4.811522,0
-12.642973,2.751275,7.467790,0.017558,8.350051,1
1.696256,8.730502,-5.707080,3.791960,9.111123,1
6.624716,4.330560,8.601294,0.437084,5.989014,0
-9.111648,0.611451,6.389374,-3.009324,-2.088444,1
-3.540885,5.781076,8.012669,-3.648825,-5.707968,1
-10.108964,11.596914,8.586700,8.012023,-4.718387,1
-14.162969,4.114946,-4.058516,3.677434,-6.883041,1
14.386905,3.254019,-1.909802,5.394896,0.011740,0
14.860193,12.966650,2.601599,9.993621,-5.501971,0
-10.098296,18.041971,0.355842,-5.743842,-9.827466,1
19.747648,10.870093,-9.190376,-5.776265,4.713933,0
15.773149,7.023592,-6.839923,-8.792324,-5.717151,0
-7.080287,3.551414,-1.956961,-0.779048,2.495506,1
5.763424,2.388104,-8.897904,-9.994571,-9.177717,0
-8.581591,19.943854,-3.213510,-4.923728,4.784969,1
-7.150637,2.961563,-9.533371,-6.664863,-8.044890,1
4.205405,12.177620,5.932876,-4.659057,5.193729,0
10.740444,17.841190,4.942881,9.877751,5.657267,0
-10.539271,10.754017,-2.796700,9.001899,0.391902,1
-17.604118,8.974605,7.419002,-5.229323,9.209497,1
13.082299,17.235880,4.493430,2.631797,9.400706,0
3.549138,12.152797,-3.143692,5.583668,6.856838,0
15.968041,10.482908,-7.350259,1.100144,7.456364,0
19.623244,7.617923,1.932104,-2.224141,7.452074,0
-7.797473,2.308491,1.783419,8.642103,6.171484,1
16.281287,15.034990,-7.552339,0.286930,3.171143,0
-4.580112,15.390722,9.197460,-9.264094,2.590544,1
-15.417826,15.583343,-1.769872,-7.534331,5.787888,1
-5.937848,12.784191,4.602340,9.176897,-5.066017,1
7.571956,8.157069,-5.151872,2.648465,-2.145055,0
7.177859,6.627111,-9.443527,2.301511,-1.988592,0
4.590643,7.056861,9.548039,6.482076,-0.258600,0
7.848627,14.968064,-3.222510,-9.333137,-2.327405,0
-10.381732,9.497084,2.398021,7.064098,4.036281,1
-4.718631,3.346621,-7.928639,3.547720,3.481510,1
2.651289,8.900096,2.194624,6.339694,4.972565,0
-15.945574,14.795400,0.721672,-9.260840,-0.948725,1
6.347304,1.605069,-7.912844,-9.388205,-6.622759,0
-8.071723,3.603101,2.035623,-1.787150,5.973530,1
14.445710,14.846421,-3.039453,8.309699,8.245208,0
10.011684,3.438500,6.440989,-4.742545,0.665179,0
-13.278746,10.471825,-4.328025,-6.290333,-9.259946,1
-7.829462,9.224368,8.554851,-3.260527,1.418162,1
7.167255,5.902252,-8.839065,1.823333,-3.004863,0
-16.894489,10.930726,6.175567,0.256683,-2.965649,1
-13.821053,2.099238,-8.061915,-4.821465,6.876775,1
-8.571049,16.421200,-5.444705,2.057705,0.667480,1
-3.812965,14.753020,3.467843,6.081840,1.631709,1
8.678291,5.763771,-3.507332,6.146328,-0.443729,0
-14.487590,18.305582,9.345019,3.764869,3.829744,1
-11.091713,18.645323,4.420948,6.628862,-0.574551,1
8.658937,15.006747,3.802643,3.879439,-4.453208,0
-6.291961,6.285806,-1.024907,4.246420,-9.926940,1
6.497527,8.860348,-7.477284,4.905120,-4.797973,0
-10.836028,0.047976,-9.566230,2.756964,-6.707161,1
1.304415,6.721098,2.091094,-1.037450,-8.848083,0
1.401213,5.588672,-4.454878,-1.959180,-3.559199,0
-5.115768,13.635052,-5.304040,-5.463227,8.805262,1
-3.403541,7.191319,6.822194,-3.830040,4.567978,1
-14.076463,12.605796,3.591313,-1.484821,7.187784,1
-13.051891,11.881254,5.504599,9.431352,-1.986547,1
-0.931523,8.499060,-8.748323,8.223983,-5.852425,1
-13.128353,4.531894,6.198706,0.289756,-8.367605,1
-4.123321,15.891334,7.555623,5.668384,-5.812786,1
-16.440733,8.977957,8.910691,-0.350549,-5.738531,1
-16.955004,14.621442,-4.129600,-1.695138,-0.071098,1
15.658227,7.439544,-3.161967,-1.443071,7.408529,0
13.823860,16.833059,7.020490,-9.627013,-3.381154,0
16.974387,11.006861,0.176881,-4.201619,4.086467,0
2.624243,11.384330,1.347262,-5.920083,-1.720613,0
11.245140,2.344549,-9.219538,-1.649669,1.584460,0
-6.091658,16.486935,4.777389,0.904556,-0.868628,1
-8.730099,6.800138,-2.086570,-3.872670,3.026733,1
12.193232,0.495433,3.116944,-0.479027,-7.594936,0
10.497781,3.621263,-9.688126,4.063942,-4.764372,0
-13.937943,11.421685,3.032297,-2.942094,-6.605847,1
-1.993094,10.539618,2.281061,6.914560,-6.292319,1
-5.197232,10.565672,8.103968,3.358164,2.937286,1
-8.154087,7.775663,-5.675220,9.470645,0.805816,1
11.712597,0.343112,3.828410,6.628356,-5.110394,0
-6.050272,1.201740,-5.201095,-2.675584,-8.779037,1
3.288367,3.904338,-2.211455,-6.152513,-9.900222,0
-8.175858,2.267826,3.077579,3.356834,8.418522,1
-10.113427,17.957023,-2.420873,8.759835,-6.239927,1
10.795483,2.350023,0.388145,5.503564,-9.606887,0
11.074612,11.420324,-5.586095,0.312797,-8.563922,0
-2.986760,10.566909,-4.186439,1.649377,4.460500,1
2.715366,14.404597,2.841678,-6.955679,-1.721191,0
-7.396597,11.024781,0.265508,-6.564669,6.402122,1
-19.570853,13.236952,0.167624,-7.630236,5.240722,0
-13.612300,15.466919,-4.056974,5.915699,5.067376,1
12.046347,0.180319,-6.725429,1.494204,5.427361,0
-13.928367,13.066629,8.267662,1.014493,-6.803485,1
14.198832,10.555225,-2.042549,5.753031,2.159341,0
7.007025,13.882592,-2.149409,8.739172,-7.908956,0
14.716403,17.935799,9.436578,-4.312508,4.954983,0
-13.797494,16.235272,7.598411,-3.521178,-7.971464,1
5.105141,10.481510,-2.292015,-2.436704,-2.339571,0
2.817139,6.149803,-3.569861,7.100725,8.371043,0
10.888399,8.107616,-3.917459,4.278410,-7.926592,0
-3.898322,10.859605,8.565822,-8.140751,9.728598,1
13.332197,16.167374,5.163091,-5.406125,5.617744,0
-9.678167,2.552027,-7.043508,3.887257,8.861696,1
16.965603,13.941307,-1.666386,4.720599,-5.311851,0
-15.915661,7.315868,2.040530,9.953902,7.461209,1
-7.827211,6.813524,8.924446,4.569956,8.460703,1
-16.648642,7.056282,7.304245,7.936760,-7.476661,0
-14.830115,16.268247,7.739262,-9.172440,7.719813,1
