min_split,min_leaf,max_depth,max_nodes
2,1,11,69
2,1,11,67
2,1,12,63
2,1,13,65
2,1,14,59
2,1,15,65
2,2,11,47
2,2,12,53
2,2,13,51
2,2,14,57
2,2,15,55
3,1,11,67
3,1,12,61
3,1,13,65
3,1,14,67
3,1,15,65
3,2,11,47
3,2,12,49
3,2,13,49
3,2,14,49
3,2,15,51
4,1,11,63
4,1,12,57
4,1,13,61
4,1,14,59
4,1,15,67
4,2,11,57
4,2,12,45
4,2,13,47
4,2,14,49
4,2,15,55
5,1,11,55
5,1,12,59
5,1,13,55
5,1,14,51
5,1,15,51
5,2,11,49
5,2,12,55
5,2,13,51
5,2,14,59
5,2,15,53
6,1,11,51
6,1,12,61
6,1,13,57
6,1,14,59
6,1,15,55
6,2,11,47
6,2,12,47
6,2,13,49
6,2,14,47
6,2,15,51
