min_split,min_leaf,max_depth,total_nodes
2,1,9,273
2,1,12,470
2,1,15,507
2,1,18,517
2,1,21,520
2,1,22,520
2,2,9,239
2,2,12,358
2,2,15,370
2,2,18,370
2,2,21,373
2,2,22,378
2,3,9,203
2,3,12,283
2,3,15,289
2,3,18,291
2,3,21,288
2,3,22,290
4,1,9,260
4,1,12,433
4,1,15,461
4,1,18,465
4,1,21,463
4,1,22,456
4,2,9,231
4,2,12,350
4,2,15,375
4,2,18,377
4,2,21,371
4,2,22,377
4,3,9,218
4,3,12,279
4,3,15,290
4,3,18,296
4,3,21,286
4,3,22,293
6,1,9,246
6,1,12,383
6,1,15,400
6,1,18,408
6,1,21,415
6,1,22,407
6,2,9,229
6,2,12,333
6,2,15,350
6,2,18,349
6,2,21,352
6,2,22,347
6,3,9,211
6,3,12,284
6,3,15,287
6,3,18,290
6,3,21,297
6,3,22,291
8,1,9,234
8,1,12,350
8,1,15,366
8,1,18,357
8,1,21,366
8,1,22,365
8,2,9,222
8,2,12,313
8,2,15,322
8,2,18,327
8,2,21,321
8,2,22,319
8,3,9,198
8,3,12,270
8,3,15,273
8,3,18,278
8,3,21,278
8,3,22,278
