min_split,min_leaf,max_depth,max_nodes
2,1,12,1
2,1,12,1
2,1,13,1
2,1,14,1
2,1,15,1
2,1,16,1
2,2,12,1
2,2,13,1
2,2,14,1
2,2,15,1
2,2,16,1
2,3,12,1
2,3,13,1
2,3,14,1
2,3,15,1
2,3,16,1
3,1,12,1
3,1,13,1
3,1,14,1
3,1,15,1
3,1,16,1
3,2,12,1
3,2,13,1
3,2,14,1
3,2,15,1
3,2,16,1
3,3,12,1
3,3,13,1
3,3,14,1
3,3,15,1
3,3,16,1
4,1,12,1
4,1,13,1
4,1,14,1
4,1,15,1
4,1,16,1
4,2,12,1
4,2,13,1
4,2,14,1
4,2,15,1
4,2,16,1
4,3,12,1
4,3,13,1
4,3,14,1
4,3,15,1
4,3,16,1
5,1,12,1
5,1,13,1
5,1,14,1
5,1,15,1
5,1,16,1
5,2,12,1
5,2,13,1
5,2,14,1
5,2,15,1
5,2,16,1
5,3,12,1
5,3,13,1
5,3,14,1
5,3,15,1
5,3,16,1
6,1,12,1
6,1,13,1
6,1,14,1
6,1,15,1
6,1,16,1
6,2,12,1
6,2,13,1
6,2,14,1
6,2,15,1
6,2,16,1
6,3,12,1
6,3,13,1
6,3,14,1
6,3,15,1
6,3,16,1
