min_split,min_leaf,max_depth,max_nodes
1,1,10,33
1,1,10,31
1,1,11,29
1,1,12,31
1,1,13,29
1,1,14,31
1,2,10,23
1,2,11,25
1,2,12,23
1,2,13,23
1,2,14,23
2,1,10,31
2,1,11,33
2,1,12,31
2,1,13,31
2,1,14,29
2,2,10,21
2,2,11,23
2,2,12,25
2,2,13,25
2,2,14,27
3,1,10,29
3,1,11,33
3,1,12,27
3,1,13,31
3,1,14,31
3,2,10,27
3,2,11,23
3,2,12,25
3,2,13,27
3,2,14,25
4,1,10,29
4,1,11,25
4,1,12,27
4,1,13,31
4,1,14,27
4,2,10,23
4,2,11,25
4,2,12,21
4,2,13,21
4,2,14,21
5,1,10,27
5,1,11,27
5,1,12,27
5,1,13,25
5,1,14,25
5,2,10,21
5,2,11,21
5,2,12,25
5,2,13,23
5,2,14,23
