min_split,min_leaf,max_depth,max_nodes
0,1,10,29
0,1,10,25
0,1,11,25
0,1,12,23
0,1,13,25
0,1,14,25
0,2,10,19
0,2,11,17
0,2,12,19
0,2,13,19
0,2,14,17
1,1,10,25
1,1,11,23
1,1,12,27
1,1,13,27
1,1,14,25
1,2,10,19
1,2,11,19
1,2,12,19
1,2,13,19
1,2,14,19
2,1,10,27
2,1,11,23
2,1,12,23
2,1,13,25
2,1,14,25
2,2,10,23
2,2,11,25
2,2,12,19
2,2,13,19
2,2,14,21
3,1,10,25
3,1,11,21
3,1,12,23
3,1,13,25
3,1,14,25
3,2,10,19
3,2,11,19
3,2,12,19
3,2,13,19
3,2,14,19
4,1,10,21
4,1,11,23
4,1,12,23
4,1,13,23
4,1,14,23
4,2,10,17
4,2,11,19
4,2,12,19
4,2,13,19
4,2,14,19
