min_split,min_leaf,max_depth,max_nodes
2,1,14,475
2,1,14,481
2,1,16,539
2,1,18,649
2,1,20,543
2,2,14,427
2,2,16,465
2,2,18,535
2,2,20,495
2,3,14,427
2,3,16,483
2,3,18,455
2,3,20,441
2,4,14,447
2,4,16,419
2,4,18,427
2,4,20,461
4,1,14,451
4,1,16,549
4,1,18,509
4,1,20,463
4,2,14,445
4,2,16,449
4,2,18,469
4,2,20,459
4,3,14,535
4,3,16,467
4,3,18,419
4,3,20,563
4,4,14,433
4,4,16,469
4,4,18,519
4,4,20,457
6,1,14,477
6,1,16,541
6,1,18,495
6,1,20,541
6,2,14,495
6,2,16,489
6,2,18,511
6,2,20,499
6,3,14,531
6,3,16,443
6,3,18,415
6,3,20,537
6,4,14,389
6,4,16,503
6,4,18,463
6,4,20,409
