min_split,min_leaf,max_depth,max_nodes
2,1,16,247
2,1,16,267
2,1,19,259
2,1,22,247
2,2,16,201
2,2,19,209
2,2,22,199
5,1,16,243
5,1,19,233
5,1,22,243
5,2,16,211
5,2,19,215
5,2,22,207
5,1,22,233
5,1,19,251
5,2,19,205
5,1,16,231
5,1,22,233
5,1,19,251
5,2,19,205
5,1,16,231
2,1,16,247
2,1,19,263
2,1,22,267
5,1,16,227
5,1,22,233
5,1,19,251
5,2,19,205
5,2,22,207
5,1,16,233
5,2,16,205
2,2,19,201
2,2,22,215
2,1,16,247
2,1,19,263
2,1,22,267
5,1,22,239
5,1,16,233
5,1,19,223
2,2,19,201
2,2,22,207
5,1,19,223
5,1,22,235
5,1,16,233
5,2,19,197
5,2,22,207
2,2,19,205
2,2,22,211
5,2,16,193
2,1,19,255
2,1,22,265
2,2,16,199
2,1,16,249
2,1,16,247
2,1,19,263
2,1,22,267
5,1,16,227
5,1,19,233
5,1,22,239
2,2,16,203
2,2,19,199
2,2,22,203
5,2,16,193
5,2,19,207
5,2,22,199
2,1,16,247
2,1,19,263
2,1,22,267
5,1,16,227
5,1,19,233
5,1,22,239
2,2,16,203
2,2,19,199
2,2,22,203
5,2,16,193
5,2,19,207
5,2,22,199
2,1,50,269
6,1,50,231
3,1,50,267
5,1,50,235
